revenue,operating_expenses,operating_profit,depreciation,interest,profit_before_tax,tax,net_profit,profit_TTM
876.0,631.2,233.7,46.1,2.2,196.4,15.8,178.5,697.8
2560.5,2226.7,318.3,118.4,9.8,205.6,51.1,154.6,562.8
833.6,691.3,98.5,8.3,0.4,133.6,32.2,127.5,472.7
2154.4,1798.6,260.7,40.8,3.1,311.9,79.7,223.3,910.5
4408.9,3872.4,499.1,141.5,29.7,365.3,95.2,269.4,872.7
6548.2,1603.8,1400.3,0.0,3544.1,1342.7,342.6,994.1,3671.4
1229.3,1041.3,146.1,10.8,0.4,176.7,52.3,154.2,643.9
944.5,780.2,103.0,27.4,12.5,124.5,35.4,98.0,459.3
1556.9,1311.2,228.8,65.4,26.1,154.3,27.8,126.5,551.7
33191.0,29405.5,3580.2,837.3,199.6,2748.7,696.3,2444.1,5283.8
985.2,667.5,289.5,18.1,0.4,299.2,81.7,217.5,647.8
3209.1,2745.1,462.3,141.5,121.5,-124.4,55.9,-81.9,-196.3
3667.9,2897.8,704.2,60.9,77.3,619.4,186.6,432.8,1750.1
4256.9,3672.1,265.5,89.3,333.1,162.4,75.9,87.3,880.0
605.1,404.7,-61.7,7.4,48.0,145.1,38.8,66.8,662.6
1191.0,976.5,213.0,52.5,26.0,136.0,33.9,102.1,393.9
1461.5,585.6,643.4,186.7,77.1,611.9,17.3,594.7,2520.1
1042.3,926.1,45.2,95.2,10.8,10.2,-0.1,-18.4,82.7
4019.3,3494.5,496.6,117.9,7.8,399.1,102.9,296.2,1254.3
2232.0,1911.0,169.0,78.0,1.0,242.0,64.0,182.0,932.0
270.4,102.0,150.6,28.8,2.2,141.1,53.4,92.3,341.8
3313.2,2881.4,237.3,45.7,1.6,387.0,78.1,308.9,1056.2
4455.9,3497.2,913.7,165.0,14.5,779.2,198.7,454.6,1522.0
27037.0,20743.0,5929.0,1010.0,156.0,5128.0,1295.0,3832.0,15445.0
107566.6,42037.6,24279.1,0.0,41249.9,20967.4,3655.0,16811.4,54474.6
3952.8,3527.0,373.4,81.2,9.3,335.3,86.2,249.1,1177.7
9741.2,8173.5,1359.5,187.1,25.0,1355.6,353.1,1006.3,3247.6
